Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,FWI,
2000, 10, eco311, 1, 5.33, 2.58, 14.94, 0, 0, 0, 0, 0.09, 0, 
2000, 11, eco311, 1, 6.49, -2.07, 7.33, 0, 0, 0, 0, 0.09, 0, 
2000, 12, eco311, 1, 10.17, -12, -0.07, 0, 0, 0, 0, 0.09, 0, 
2001, 1, eco311, 1, 3.31, -11.39, -0.29, 0, 0, 0, 0, 0.09, 0, 
2001, 2, eco311, 1, 5.08, -10.26, 1.26, 0, 0, 0, 0, 0.09, 0, 
2001, 3, eco311, 1, 16.15, -7.43, 2.87, 0, 0, 0, 0, 0.09, 0, 
2001, 4, eco311, 1, 3.91, -0.41, 12.86, 0, 0, 0, 0, 0.09, 0, 
2001, 5, eco311, 1, 5.16, 6.55, 20.77, 0, 0, 0, 0, 0.09, 0, 
2001, 6, eco311, 1, 11.1, 12.21, 24.36, 0, 0, 0, 0, 0.09, 0, 
2001, 7, eco311, 1, 9.72, 11.83, 25.21, 0, 0, 0, 0, 0.09, 0, 
2001, 8, eco311, 1, 5.61, 14.83, 26.76, 0, 0, 0, 0, 0.09, 0, 
2001, 9, eco311, 1, 12.09, 9, 22.28, 0, 0, 0, 0, 0.09, 0, 
2001, 10, eco311, 1, 2.02, 3.39, 16.94, 0, 0, 0, 0, 0.09, 0, 
2001, 11, eco311, 1, 2.81, 1.05, 12.65, 0, 0, 0, 0, 0.09, 0, 
2001, 12, eco311, 1, 3.86, -4.24, 7.19, 0, 0, 0, 0, 0.09, 0, 
2002, 1, eco311, 1, 5.27, -4.7, 3.1, 0, 0, 0, 0, 0.08, 0, 
2002, 2, eco311, 1, 5.62, -6.4, 4.7, 0, 0, 0, 0, 0.08, 0, 
2002, 3, eco311, 1, 8.49, -3.6, 6.7, 0, 0, 0, 0, 0.08, 0, 
2002, 4, eco311, 1, 9.85, 2.2, 14.1, 0, 0, 0, 0, 0.08, 0, 
2002, 5, eco311, 1, 12.31, 5.6, 17.7, 0, 0, 0, 0, 0.08, 0, 
2002, 6, eco311, 1, 11.53, 10.9, 23.1, 0, 0, 0, 0, 0.08, 0, 
2002, 7, eco311, 1, 6.65, 15.3, 26.8, 0, 0, 0, 0, 0.08, 0, 
2002, 8, eco311, 1, 11.76, 15.1, 27, 0, 0, 0, 0, 0.08, 0, 
2002, 9, eco311, 1, 8.72, 11.8, 23.4, 0, 0, 0, 0, 0.08, 0, 
2002, 10, eco311, 1, 7.45, 3.1, 12.8, 0, 0, 0, 0, 0.08, 0, 
2002, 11, eco311, 1, 12.78, -1.3, 6.3, 0, 0, 0, 0, 0.08, 0, 
2002, 12, eco311, 1, 10.69, -7.1, 1.3, 0, 0, 0, 0, 0.08, 0, 
2003, 1, eco311, 1, 8.1, -13.3, -4.3, 0, 0, 0, 0, 0.08, 0, 
2003, 2, eco311, 1, 8.2, -11.4, -1.6, 0, 0, 0, 0, 0.08, 0, 
2003, 3, eco311, 1, 10.27, -5.3, 7.2, 0, 0, 0, 0, 0.08, 0, 
2003, 4, eco311, 1, 9.63, -0.4, 11, 0, 0, 0, 0, 0.08, 0, 
2003, 5, eco311, 1, 14.48, 6.3, 17.3, 0, 0, 0, 0, 0.08, 0, 
2003, 6, eco311, 1, 15.24, 12.2, 22.8, 0, 0, 0, 0, 0.08, 0, 
2003, 7, eco311, 1, 3.64, 15.6, 26.3, 0, 0, 0, 0, 0.08, 0, 
2003, 8, eco311, 1, 9.86, 16.1, 26.1, 0, 0, 0, 0, 0.08, 0, 
2003, 9, eco311, 1, 13.93, 10.9, 21.2, 0, 0, 0, 0, 0.08, 0, 
2003, 10, eco311, 1, 14.31, 3.3, 13.8, 0, 0, 0, 0, 0.08, 0, 
2003, 11, eco311, 1, 8, 0.2, 10.2, 0, 0, 0, 0, 0.08, 0, 
2003, 12, eco311, 1, 15.39, -5.8, 3, 0, 0, 0, 0, 0.08, 0, 
2004, 1, eco311, 1, 2.96, -15, -6, 0, 0, 0, 0, 0.07, 0, 
2004, 2, eco311, 1, 3.63, -8.7, 1.8, 0, 0, 0, 0, 0.07, 0, 
2004, 3, eco311, 1, 8.28, -3.3, 6.5, 0, 0, 0, 0, 0.07, 0, 
2004, 4, eco311, 1, 15.36, 1.6, 13.7, 0, 0, 0, 0, 0.07, 0, 
2004, 5, eco311, 1, 11.45, 7.7, 20.7, 0, 0, 0, 0, 0.07, 0, 
2004, 6, eco311, 1, 6.99, 10.8, 22.9, 0, 0, 0, 0, 0.07, 0, 
2004, 7, eco311, 1, 12.64, 14.8, 25, 0, 0, 0, 0, 0.07, 0, 
2004, 8, eco311, 1, 8.7, 14.7, 25, 0, 0, 0, 0, 0.07, 0, 
2004, 9, eco311, 1, 21.35, 10.8, 22, 0, 0, 0, 0, 0.07, 0, 
2004, 10, eco311, 1, 6.18, 4.6, 14.1, 0, 0, 0, 0, 0.07, 0, 
2004, 11, eco311, 1, 8.85, -1.3, 8.7, 0, 0, 0, 0, 0.07, 0, 
2004, 12, eco311, 1, 9.88, -6.9, 1.5, 0, 0, 0, 0, 0.07, 0, 
2005, 1, eco311, 1, 11.14, -11.3, -2.1, 0, 0, 0, 0, 0.07, 0, 
2005, 2, eco311, 1, 6.47, -7.8, 2.8, 0, 0, 0, 0, 0.07, 0, 
2005, 3, eco311, 1, 11.99, -6.5, 4.2, 0, 0, 0, 0, 0.07, 0, 
2005, 4, eco311, 1, 14.41, 2, 15.5, 0, 0, 0, 0, 0.07, 0, 
2005, 5, eco311, 1, 9.1, 4.6, 15.4, 0, 0, 0, 0, 0.07, 0, 
2005, 6, eco311, 1, 14.02, 13.9, 25.7, 0, 0, 0, 0, 0.07, 0, 
2005, 7, eco311, 1, 12.33, 15.9, 26.5, 0, 0, 0, 0, 0.07, 0, 
2005, 8, eco311, 1, 8.69, 16.1, 26.8, 0, 0, 0, 0, 0.07, 0, 
