"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
189,"PRSE","adult",NA,35.8,NA,NA,NA,NA,NA
192,"BELE","adult",NA,11.9,NA,NA,NA,NA,NA
193,"BEAL","adult",NA,14.8,NA,NA,NA,NA,NA
194,"ACRU","adult",NA,20.1,NA,NA,NA,NA,NA
201,"QURU","adult",NA,33.9,NA,NA,NA,NA,NA
202,"QURU","adult",NA,20.7,NA,NA,NA,NA,NA
203,"FRAM","adult",NA,15.4,NA,NA,NA,NA,NA
204,"ACRU","adult",NA,27.7,NA,NA,NA,NA,NA
205,"ACRU","adult",NA,18.7,NA,NA,NA,NA,NA
207,"ACRU","adult",NA,16.5,NA,NA,NA,NA,NA
208,"ACRU","adult",NA,20.1,NA,NA,NA,NA,NA
209,"QURU","adult",NA,21.2,NA,NA,NA,NA,NA
210,"QURU","adult",NA,30.4,NA,NA,NA,NA,NA
211,"ACRU","adult",NA,16.8,NA,NA,NA,NA,NA
212,"ACRU","adult",NA,13,NA,NA,NA,NA,NA
213,"ACRU","adult",NA,13.7,NA,NA,NA,NA,NA
214,"BEAL","adult",NA,15.5,NA,NA,NA,NA,NA
215,"ACRU","adult",NA,18,NA,NA,NA,NA,NA
216,"ACRU","adult",NA,16.5,NA,NA,NA,NA,NA
217,"ACRU","adult",NA,11.6,NA,NA,NA,NA,NA
218,"ACRU","adult",NA,12.8,NA,NA,NA,NA,NA
219,"ACRU","adult",NA,15.6,NA,NA,NA,NA,NA
221,"ACRU","adult",NA,24.2,NA,NA,NA,NA,NA
222,"ACRU","adult",NA,17.4,NA,NA,NA,NA,NA
223,"QURU","adult",NA,41.9,NA,NA,NA,NA,NA
225,"ACRU","adult",NA,21.4,NA,NA,NA,NA,NA
226,"QURU","adult",NA,22.2,NA,NA,NA,NA,NA
227,"ACRU","adult",NA,21.6,NA,NA,NA,NA,NA
228,"QUVE","adult",NA,43.1,NA,NA,NA,NA,NA
229,"ACRU","adult",NA,15.5,NA,NA,NA,NA,NA
230,"BELE","adult",NA,16.5,NA,NA,NA,NA,NA
231,"QURU","adult",NA,21.5,NA,NA,NA,NA,NA
232,"QURU","adult",NA,33.6,NA,NA,NA,NA,NA
251,"QUVE","adult",NA,18.5,NA,NA,NA,NA,NA
252,"ACRU","adult",NA,12,NA,NA,NA,NA,NA
