"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
3467,"PIPA","adult",NA,21.65,NA,NA,NA,NA,368.1337906
3468,"PIPA","adult",NA,49.6,NA,NA,NA,NA,1932.205146
3469,"PIPA","adult",NA,48.05,NA,NA,NA,NA,1813.329243
3470,"PIPA","adult",NA,40.15,NA,NA,NA,NA,1266.079511
3471,"PIPA","adult",NA,55.85,NA,NA,NA,NA,2449.831623
3472,"PIPA","adult",NA,34.15,NA,NA,NA,NA,915.9490096
3473,"PIPA","adult",NA,44.05,NA,NA,NA,NA,1523.98856
3674,"PIPA","adult",NA,53.5,NA,NA,NA,NA,2248.005893
3675,"PIPA","adult",NA,42.15,NA,NA,NA,NA,1395.356049
3676,"PIPA","adult",NA,40.7,NA,NA,NA,NA,1301.004204
3677,"PIPA","adult",NA,42.85,NA,NA,NA,NA,1442.087239
3678,"PIPA","adult",NA,22.45,NA,NA,NA,NA,395.8426378
3679,"PIPA","adult",NA,40.95,NA,NA,NA,NA,1317.036144
3680,"PIPA","adult",NA,28.55,NA,NA,NA,NA,640.1800065
3681,"PIPA","adult",NA,30.75,NA,NA,NA,NA,742.6430509
3682,"PIPA","adult",NA,42.35,NA,NA,NA,NA,1408.629278
3683,"PIPA","adult",NA,14.85,NA,NA,NA,NA,173.1979665
3684,"PIPA","adult",NA,16.4,NA,NA,NA,NA,211.24069
3685,"PIPA","adult",NA,46.7,NA,NA,NA,NA,1712.867001
3686,"PIPA","adult",NA,19.2,NA,NA,NA,NA,289.529179
3687,"PIPA","adult",NA,40.45,NA,NA,NA,NA,1285.070438
3688,"PIPA","adult",NA,45,NA,NA,NA,NA,1590.431281
3689,"PIPA","adult",NA,30,NA,NA,NA,NA,706.8583471
3690,"PIPA","adult",NA,14.5,NA,NA,NA,NA,165.1299639
3691,"PIPA","adult",NA,15,NA,NA,NA,NA,176.7145868
3693,"PIPA","adult",NA,16.5,NA,NA,NA,NA,213.82465
3694,"PIPA","adult",NA,25.75,NA,NA,NA,NA,520.7680697
3695,"PIPA","adult",NA,40,NA,NA,NA,NA,1256.637061
3696,"PIPA","adult",NA,24,NA,NA,NA,NA,452.3893421
3697,"PIPA","adult",NA,42.8,NA,NA,NA,NA,1438.723772
3698,"PIPA","adult",NA,33.15,NA,NA,NA,NA,863.0917132
3699,"PIPA","adult",NA,43.5,NA,NA,NA,NA,1486.169675
3700,"PIPA","adult",NA,42,NA,NA,NA,NA,1385.44236
3701,"PIPA","adult",NA,32.9,NA,NA,NA,NA,850.122826
3702,"PIPA","adult",NA,33.05,NA,NA,NA,NA,857.8923774
3703,"PIPA","adult",NA,40,NA,NA,NA,NA,1256.637061
3704,"PIPA","adult",NA,39.55,NA,NA,NA,NA,1228.521771
3705,"PIPA","adult",NA,13.3,NA,NA,NA,NA,138.9290811
3706,"PIPA","adult",NA,36.5,NA,NA,NA,NA,1046.346703
3707,"PIPA","adult",NA,37,NA,NA,NA,NA,1075.210086
3708,"PIPA","adult",NA,42.6,NA,NA,NA,NA,1425.309171
3709,"PIPA","adult",NA,45.3,NA,NA,NA,NA,1611.707717
3710,"QUIN","adult",NA,11.8,NA,NA,NA,NA,109.3588403
3711,"PIPA","adult",NA,42.65,NA,NA,NA,NA,1428.656931
3712,"PIPA","adult",NA,14.85,NA,NA,NA,NA,173.1979665
3713,"PIPA","adult",NA,21.65,NA,NA,NA,NA,368.1337906
3714,"PIPA","adult",NA,40,NA,NA,NA,NA,1256.637061
3715,"PIPA","adult",NA,33.4,NA,NA,NA,NA,876.1587752
3716,"PIPA","adult",NA,36.8,NA,NA,NA,NA,1063.617609
3717,"PIPA","adult",NA,28.15,NA,NA,NA,NA,622.3671761
4260,"PIPA","adult",NA,22.65,NA,NA,NA,NA,402.9269293
7476,"QUNI","adult",NA,10,NA,NA,NA,NA,78.53981634
7478,"PIPA","adult",NA,10.95,NA,NA,NA,NA,94.17120329
7479,"PIPA","adult",NA,11,NA,NA,NA,NA,95.03317777
7807,"PIPA","adult",NA,14.45,NA,NA,NA,NA,163.9931
7808,"PIPA","adult",NA,15.15,NA,NA,NA,NA,180.26655
7809,"PIPA","adult",NA,10.85,NA,NA,NA,NA,92.45903529
7810,"PIPA","adult",NA,13,NA,NA,NA,NA,132.7322896
