"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
122,"PIRE","adult",NA,36.1764705882353,NA,NA,NA,NA,NA
123,"ACRU","adult",NA,28.2647058823529,NA,NA,NA,NA,NA
124,"ACRU","adult",NA,34.7705882352941,NA,NA,NA,NA,NA
125,"PIRE","adult",NA,32.8,NA,NA,NA,NA,NA
126,"ACRU","adult",NA,18.4,NA,NA,NA,NA,NA
127,"PIRE","adult",NA,32.1764705882353,NA,NA,NA,NA,NA
128,"ACRU","adult",NA,31.5,NA,NA,NA,NA,NA
129,"PIRE","adult",NA,38.2,NA,NA,NA,NA,NA
130,"ACRU","adult",NA,13.1,NA,NA,NA,NA,NA
131,"PIST","adult",NA,17.8882352941176,NA,NA,NA,NA,NA
132,"QURU","adult",NA,42.4176470588235,NA,NA,NA,NA,NA
133,"ACRU","adult",NA,14.2,NA,NA,NA,NA,NA
134,"PRSE","adult",NA,14.2,NA,NA,NA,NA,NA
135,"PIRE","adult",NA,33.6882352941176,NA,NA,NA,NA,NA
136,"PIRE","adult",NA,25.9294117647059,NA,NA,NA,NA,NA
137,"PIRE","adult",NA,33.3,NA,NA,NA,NA,NA
138,"PIRE","adult",NA,22.8941176470588,NA,NA,NA,NA,NA
139,"PIRE","adult",NA,28.6411764705882,NA,NA,NA,NA,NA
140,"PIRE","adult",NA,44.7882352941176,NA,NA,NA,NA,NA
141,"QURU","adult",NA,26.0176470588235,NA,NA,NA,NA,NA
142,"ACRU","adult",NA,14.0529411764706,NA,NA,NA,NA,NA
143,"QURU","adult",NA,61.9176470588235,NA,NA,NA,NA,NA
144,"ACRU","adult",NA,24.3235294117647,NA,NA,NA,NA,NA
145,"BEAL","adult",NA,30.1058823529412,NA,NA,NA,NA,NA
146,"ACRU","adult",NA,9.5,NA,NA,NA,NA,NA
147,"ACRU","adult",NA,13.8,NA,NA,NA,NA,NA
148,"ACRU","adult",NA,28.3352941176471,NA,NA,NA,NA,NA
149,"PRSE","adult",NA,35.7294117647059,NA,NA,NA,NA,NA
150,"BELE","adult",NA,11.9764705882353,NA,NA,NA,NA,NA
151,"BEAL","adult",NA,14.8705882352941,NA,NA,NA,NA,NA
152,"ACRU","adult",NA,20.2058823529412,NA,NA,NA,NA,NA
153,"QURU","adult",NA,34.1058823529412,NA,NA,NA,NA,NA
154,"QURU","adult",NA,20.7,NA,NA,NA,NA,NA
155,"TSCA","adult",NA,38.2764705882353,NA,NA,NA,NA,NA
156,"FRAM","adult",NA,15.4,NA,NA,NA,NA,NA
157,"QURU","adult",NA,22.2941176470588,NA,NA,NA,NA,NA
158,"ACRU","adult",NA,27.7,NA,NA,NA,NA,NA
159,"TSCA","adult",NA,41.0294117647059,NA,NA,NA,NA,NA
160,"BEAL","adult",NA,12.6,NA,NA,NA,NA,NA
161,"PRSE","adult",NA,48.8117647058824,NA,NA,NA,NA,NA
162,"TSCA","adult",NA,32.8294117647059,NA,NA,NA,NA,NA
163,"ACRU","adult",NA,20.0058823529412,NA,NA,NA,NA,NA
164,"TSCA","adult",NA,12.2,NA,NA,NA,NA,NA
165,"QURU","adult",NA,21.2,NA,NA,NA,NA,NA
166,"TSCA","adult",NA,28.7941176470588,NA,NA,NA,NA,NA
167,"QURU","adult",NA,30.5647058823529,NA,NA,NA,NA,NA
168,"TSCA","adult",NA,43.1823529411765,NA,NA,NA,NA,NA
169,"ACRU","adult",NA,16.8,NA,NA,NA,NA,NA
170,"QURU","adult",NA,27.0823529411765,NA,NA,NA,NA,NA
171,"ACRU","adult",NA,13,NA,NA,NA,NA,NA
172,"ACRU","adult",NA,38,NA,NA,NA,NA,NA
173,"ACRU","adult",NA,13.6117647058824,NA,NA,NA,NA,NA
