"id","species","type","age","dbh","n_trees","height","crown_l","crown_r","crown_a","ba","crown_a_cumsum","biomass_ag","biomass_stem","biomass_branch","biomass_leaf","biomass_root_coarse","biomass_root_fine","biomass_soil","biomass_bg","biomass_total","c_ag","c_bg","c_total","anpp","n_ag","n_bg","n_total","annp","year"
313,"TSCA","sapling",0,1,17,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
314,"BELE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
315,"FAGR","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
316,"ACPE","sapling",0,1,2,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
317,"PIGL","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006
318,"ACRU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
319,"BEAL","sapling",0,1,16,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
320,"QURU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
321,"FRAM","sapling",0,1,5,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
322,"PIST","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
323,"PRSE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
324,"QUVE","sapling",0,1,9,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
325,"BEPO","sapling",0,1,2,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
326,"PIRE","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
327,"TSCA","sapling",0,1,17,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
328,"BELE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
329,"FAGR","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
330,"ACPE","sapling",0,1,2,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
331,"PIGL","sapling",0,1,3,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007
332,"ACRU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008
333,"BEAL","sapling",0,1,16,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008
334,"QURU","sapling",0,1,29,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008
335,"FRAM","sapling",0,1,5,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008
336,"PIST","sapling",0,1,11,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008
337,"PRSE","sapling",0,1,8,2,0.845,0.1,0.0314,8e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008
