# ppt,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
1992-07T00:00:00Z,24.03225806,0,0
1992-08T00:00:00Z,23.5483871,0,0
1992-09T00:00:00Z,21.2,0,0
1992-10T00:00:00Z,9.9,0,0
1992-11T00:00:00Z,6.233333333,0,0
1992-12T00:00:00Z,2,0,0
1993-01T00:00:00Z,0.263157895,0,0
1993-02T00:00:00Z,-2.178571429,0,0
1993-03T00:00:00Z,4,0,0
1993-04T00:00:00Z,13.37931034,0,0
1993-05T00:00:00Z,20.86666667,0,0
1993-06T00:00:00Z,24.03333333,0,0
1993-07T00:00:00Z,27.32258065,0,0
1993-08T00:00:00Z,26.23333333,0,0
1993-09T00:00:00Z,19.93333333,0,0
1993-10T00:00:00Z,14.03225806,0,0
1993-11T00:00:00Z,8.866666667,0,0
1993-12T00:00:00Z,1.774193548,0,0
1994-01T00:00:00Z,-4.322580645,0,0
1994-02T00:00:00Z,-1.185185185,0,0
1994-03T00:00:00Z,4.774193548,0,0
1994-04T00:00:00Z,13.83333333,0,0
1994-05T00:00:00Z,18.35483871,0,0
1994-06T00:00:00Z,25.2,0,0
1994-07T00:00:00Z,28.12903226,0,0
1994-08T00:00:00Z,24.81481481,0,0
1994-09T00:00:00Z,20.86666667,0,0
1994-10T00:00:00Z,15.9,0,0
1994-11T00:00:00Z,11.47826087,0,0
1994-12T00:00:00Z,3.666666667,0,0
1995-01T00:00:00Z,1.785714286,0,0
1995-02T00:00:00Z,-0.714285714,0,0
1995-03T00:00:00Z,8.115384615,0,0
1995-04T00:00:00Z,11.31818182,0,0
1995-05T00:00:00Z,17.16,0,0
1995-06T00:00:00Z,23,0,0
1995-07T00:00:00Z,26.61538462,0,0
1995-08T00:00:00Z,27,0,0
1995-09T00:00:00Z,20.86666667,0,0
1995-10T00:00:00Z,21,0,0
1995-11T00:00:00Z,6.142857143,0,0
1995-12T00:00:00Z,3.933333333,0,0
1996-01T00:00:00Z,2.095238095,0,0
1996-02T00:00:00Z,-0.392857143,0,0
1996-03T00:00:00Z,5.137931034,0,0
1996-04T00:00:00Z,11.7037037,0,0
1996-05T00:00:00Z,17.61290323,0,0
1996-06T00:00:00Z,23.73333333,0,0
1996-07T00:00:00Z,24.67741935,0,0
1996-08T00:00:00Z,25.5862069,0,0
1996-09T00:00:00Z,20.73333333,0,0
1996-10T00:00:00Z,15.06896552,0,0
1996-11T00:00:00Z,6.142857143,0,0
1996-12T00:00:00Z,3.933333333,0,0
1997-01T00:00:00Z,-0.448275862,0,0
1997-02T00:00:00Z,2.391304348,0,0
1997-03T00:00:00Z,5.416666667,0,0
1997-04T00:00:00Z,11.71428571,0,0
1997-05T00:00:00Z,17.68421053,0,0
1997-06T00:00:00Z,24.73333333,0,0
1997-07T00:00:00Z,26.12903226,0,0
1997-08T00:00:00Z,25.3,0,0
1997-09T00:00:00Z,21.03448276,0,0
1997-10T00:00:00Z,14.66666667,0,0
1997-11T00:00:00Z,6.133333333,0,0
1997-12T00:00:00Z,3.25,0,0
1998-01T00:00:00Z,2,0,0
1998-02T00:00:00Z,4.115384615,0,0
1998-03T00:00:00Z,6.36,0,0
1998-04T00:00:00Z,14.33333333,0,0
1998-05T00:00:00Z,21.62068966,0,0
1998-06T00:00:00Z,22.24137931,0,0
1998-07T00:00:00Z,26.64516129,0,0
1998-08T00:00:00Z,27.12903226,0,0
